state,name,wikipedia_url,official_url,pop2013,OCDID,census_geoid
Alabama,Autauga County,"https://en.wikipedia.org/wiki/Autauga_County,_Alabama",http://www.autaugaco.org,"55,246",ocd-division/country:us/state:al/county:autauga,01001
Alabama,Baldwin County,"https://en.wikipedia.org/wiki/Baldwin_County,_Alabama",http://www.co.baldwin.al.us,"195,540",ocd-division/country:us/state:al/county:baldwin,01003
Alabama,Barbour County,"https://en.wikipedia.org/wiki/Barbour_County,_Alabama",,"27,076",ocd-division/country:us/state:al/county:barbour,01005
Alabama,Bibb County,"https://en.wikipedia.org/wiki/Bibb_County,_Alabama",http://www.bibbal.com,"22,512",ocd-division/country:us/state:al/county:bibb,01007
Alabama,Blount County,"https://en.wikipedia.org/wiki/Blount_County,_Alabama",http://www.blountcountyal.gov,"57,872",ocd-division/country:us/state:al/county:blount,01009
Alabama,Bullock County,"https://en.wikipedia.org/wiki/Bullock_County,_Alabama",http://bullockcountyalrev.com/,"10,639",ocd-division/country:us/state:al/county:bullock,01011
Alabama,Butler County,"https://en.wikipedia.org/wiki/Butler_County,_Alabama",http://butlercountyal.com/,"20,265",ocd-division/country:us/state:al/county:butler,01013
Alabama,Calhoun County,"https://en.wikipedia.org/wiki/Calhoun_County,_Alabama",http://www.calhouncounty.org,"116,736",ocd-division/country:us/state:al/county:calhoun,01015
Alabama,Chambers County,"https://en.wikipedia.org/wiki/Chambers_County,_Alabama",http://www.chamberscountyal.gov,"34,162",ocd-division/country:us/state:al/county:chambers,01017
Alabama,Cherokee County,"https://en.wikipedia.org/wiki/Cherokee_County,_Alabama",http://www.cherokeecounty-al.gov,"26,203",ocd-division/country:us/state:al/county:cherokee,01019
Alabama,Chilton County,"https://en.wikipedia.org/wiki/Chilton_County,_Alabama",http://www.chiltoncounty.org,"43,951",ocd-division/country:us/state:al/county:chilton,01021
Alabama,Choctaw County,"https://en.wikipedia.org/wiki/Choctaw_County,_Alabama",,"13,426",ocd-division/country:us/state:al/county:choctaw,01023
Alabama,Clarke County,"https://en.wikipedia.org/wiki/Clarke_County,_Alabama",http://www.clarkecountyal.com,"25,207",ocd-division/country:us/state:al/county:clarke,01025
Alabama,Clay County,"https://en.wikipedia.org/wiki/Clay_County,_Alabama",http://claycochamber.com/,"13,486",ocd-division/country:us/state:al/county:clay,01027
Alabama,Cleburne County,"https://en.wikipedia.org/wiki/Cleburne_County,_Alabama",http://www.cleburnecounty.us,"14,994",ocd-division/country:us/state:al/county:cleburne,01029
Alabama,Coffee County,"https://en.wikipedia.org/wiki/Coffee_County,_Alabama",http://www.coffeecounty.us,"50,938",ocd-division/country:us/state:al/county:coffee,01031
Alabama,Colbert County,"https://en.wikipedia.org/wiki/Colbert_County,_Alabama",http://www.colbertcounty.org/,"54,520",ocd-division/country:us/state:al/county:colbert,01033
Alabama,Conecuh County,"https://en.wikipedia.org/wiki/Conecuh_County,_Alabama",,"12,887",ocd-division/country:us/state:al/county:conecuh,01035
Alabama,Coosa County,"https://en.wikipedia.org/wiki/Coosa_County,_Alabama",http://www.coosacountyal.com/,"10,898",ocd-division/country:us/state:al/county:coosa,01037
Alabama,Covington County,"https://en.wikipedia.org/wiki/Covington_County,_Alabama",http://www.covcounty.com,"37,886",ocd-division/country:us/state:al/county:covington,01039
Alabama,Crenshaw County,"https://en.wikipedia.org/wiki/Crenshaw_County,_Alabama",http://www.crenshawcountyalonline.com,"13,986",ocd-division/country:us/state:al/county:crenshaw,01041
Alabama,Cullman County,"https://en.wikipedia.org/wiki/Cullman_County,_Alabama",http://www.co.cullman.al.us,"80,811",ocd-division/country:us/state:al/county:cullman,01043
Alabama,Dale County,"https://en.wikipedia.org/wiki/Dale_County,_Alabama",http://www.dalecountyal.org,"49,884",ocd-division/country:us/state:al/county:dale,01045
Alabama,Dallas County,"https://en.wikipedia.org/wiki/Dallas_County,_Alabama",http://www.dallascounty-al.org/,"41,996",ocd-division/country:us/state:al/county:dallas,01047
Alabama,DeKalb County,"https://en.wikipedia.org/wiki/DeKalb_County,_Alabama",http://www.dekalbcountyal.us,"71,013",ocd-division/country:us/state:al/county:dekalb,01049
Alabama,Elmore County,"https://en.wikipedia.org/wiki/Elmore_County,_Alabama",http://www.elmoreco.org,"80,902",ocd-division/country:us/state:al/county:elmore,01051
Alabama,Escambia County,"https://en.wikipedia.org/wiki/Escambia_County,_Alabama",http://www.co.escambia.al.us,"37,983",ocd-division/country:us/state:al/county:escambia,01053
